Arrival_Date,Commodity,Commodity_Code,District,Grade,Market,Max_Price,Min_Price,Modal_Price,State,Variety,Year,Month,Day,DayOfWeek
2003-07-07,Big Gram,113,Bhagalpur,FAQ,Bhagalpur,1885,1825,1840,Bihar,Other,2003,7,7,0
2003-07-08,Wheat,1,Bhagalpur,FAQ,Bhagalpur,775,665,715,Bihar,Deshi,2003,7,8,1
2003-07-08,Masur Dal,259,Bhagalpur,FAQ,Bhagalpur,2030,1900,1970,Bihar,Masoor Gola,2003,7,8,1
2003-07-08,Onion,23,Bhagalpur,FAQ,Bhagalpur,710,640,665,Bihar,Pusa-Red,2003,7,8,1
2003-07-08,Big Gram,113,Bhagalpur,FAQ,Bhagalpur,1885,1825,1840,Bihar,Other,2003,7,8,1
2003-07-08,Paddy(Dhan)(Common),2,Bhagalpur,FAQ,Bhagalpur,630,525,540,Bihar,Paddy fine,2003,7,8,1
2003-07-08,Mustard Oil,324,Bhagalpur,FAQ,Bhagalpur,6060,5710,5800,Bihar,Other,2003,7,8,1
2003-07-08,Bengal Gram(Gram)(Whole),6,Bhagalpur,FAQ,Bhagalpur,2115,2000,2050,Bihar,Desi (F.A.Q. Split),2003,7,8,1
2003-07-08,Potato,24,Bhagalpur,FAQ,Bhagalpur,475,410,420,Bihar,Desi,2003,7,8,1
2003-07-08,Arhar (Tur/Red Gram)(Whole),49,Bhagalpur,FAQ,Bhagalpur,2700,2600,2660,Bihar,Arhar Dal(Tur),2003,7,8,1
2003-07-08,Rice,3,Bhagalpur,FAQ,Bhagalpur,1100,1015,1030,Bihar,Medium,2003,7,8,1
2003-07-09,Big Gram,113,Bhagalpur,FAQ,Bhagalpur,1900,1830,1840,Bihar,Other,2003,7,9,2
2003-07-09,Onion,23,Bhagalpur,FAQ,Bhagalpur,725,645,665,Bihar,Pusa-Red,2003,7,9,2
2003-07-09,Paddy(Dhan)(Common),2,Bhagalpur,FAQ,Bhagalpur,630,525,540,Bihar,Paddy fine,2003,7,9,2
2003-07-09,Mustard Oil,324,Bhagalpur,FAQ,Bhagalpur,6075,5750,5800,Bihar,Other,2003,7,9,2
2003-07-09,Potato,24,Bhagalpur,FAQ,Bhagalpur,475,410,420,Bihar,Desi,2003,7,9,2
2003-07-09,Wheat,1,Bhagalpur,FAQ,Bhagalpur,785,675,720,Bihar,Deshi,2003,7,9,2
2003-07-09,Bengal Gram(Gram)(Whole),6,Bhagalpur,FAQ,Bhagalpur,2140,2020,2050,Bihar,Desi (F.A.Q. Split),2003,7,9,2
2003-07-09,Masur Dal,259,Bhagalpur,FAQ,Bhagalpur,2040,1920,1970,Bihar,Masoor Gola,2003,7,9,2
